workerid,anon_workerid
A1KRY2FK9RQV7B,0
A29NA4283YJ26D,1
AX4U4ZJJQKKMS,2
A2G92T4A1U377C,3
AC54HUSIFWSP,4
A3PJGYETE8D0W1,5
A1DGCK4VAI5HFM,6
A3GRDYAGMTAU02,7
A1SNX9NBRRIVON,8
A2Z0V2A4SP5QE0,9
A3INW9GHEU7FLU,10
A3TNYCMC5H9B2Z,11
A3B6UKK4C57AVR,12
A7SXWHGK8B40R,13
