workerid,anon_workerid
A31M15FQM84IMX,0
A1PEUJ23G02GUZ,1
AWXIEV9H6KT9E,2
A3FT3XPTOWHJMY,3
A2PU5BM2YXFQQS,4
A2QBFXY9UQMJTT,5
A2WPKP73S4MBLK,6
A1KA64FR47O9FS,7
A2IP3ZAFYGV8M9,8
A1PUHCEBSOWETV,9
A1S2NQYJGZ0C5F,10
A255C5NDOBXZEC,11
A3B82GXN9H9MPZ,12
A2NYY1IPHPUJ90,13
A3QAETE7C7Z4R3,14
