gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6037-d,1598461447180,1,clickedObj,,spoon_wood_brown,undefined,distractor,3,2,bottle_glass_clear,none,target,1,1,cup_metal_silver,undefined,distractor,4,4,table_metal_silver,undefined,distractor,2,3
6037-d,1598461458283,2,clickedObj,,pitcher_metal_silver,undefined,distractor,2,2,boot_rubber_black,undefined,distractor,3,4,jacket_denim_blue,none,target,4,1,bag_plastic_white,undefined,distractor,1,3
6037-d,1598461466288,3,clickedObj,,bottle_plastic_clear,none,target,4,2,bowl_metal_silver,undefined,distractor,1,4,boot_leather_black,undefined,distractor,2,3,pitcher_glass_clear,undefined,distractor,3,1
6037-d,1598461480430,4,clickedObj,,cup_full_plastic,undefined,distractor,3,2,cup_empty_metal,none,target,2,4,cup_full_metal,undefined,distractor,1,3,cup_empty_plastic,undefined,distractor,4,1
