gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs, speakerName, listenerName
5298-7,1598543798734,1,clickedObj,,spoon_wood_brown,filler,none,distractor,4,1,bottle_glass_clear,filler,none,distractor,3,3,cup_metal_silver,filler,none,target,1,4,table_metal_silver,filler,none,distractor,2,2,idil,berke
5298-7,1598543815940,2,clickedObj,,pitcher_metal_silver,filler,none,distractor,4,1,bag_plastic_white,filler,none,distractor,3,2,boot_rubber_black,filler,none,distractor,2,4,jacket_denim_blue,filler,none,target,1,3,idil,berke
