gameid,time,roundNum,sender,contents
3726-7,1618529603327,1,listener,"fdfb"
3726-7,1618529606643,2,listener,"avd"
3726-7,1618529608712,3,listener,"vfs"
3726-7,1618529612728,4,listener,"vs"
